"arquivo_original","arquivo_novo","cor","modelagem","comprimento","decote","manga","tecido","detalhes"
"90.webp","dourado_sereia_longo_ombro-a-ombro_fenda.webp","dourado","sereia","longo","ombro-a-ombro","manga-longa","cetim","fenda;babados"
"91.webp","vermelho_sereia_longo_outro_fenda.webp","vermelho","sereia","longo","outro","sem-manga","cetim","fenda"
"96.webp","pink_reto_longo_canoa_babados.webp","pink","reto","longo","canoa","manga-longa","","babados;fenda"
"97.webp","verde-oliva-claro_princesa_longo_outro_bordado.webp","verde-oliva-claro","princesa","longo","outro","sem-manga","tule","bordado;babados"
"98.webp","amarelo_princesa_longo_outro.webp","amarelo","princesa","longo","outro","sem-manga","",""
"B2780E10-42A1-4CF0-A99D-10004220E53D.webp","cobre_sereia_longo_um-ombro_fenda.webp","cobre","sereia","longo","um-ombro","sem-manga","cetim","fenda;babados"
"B5490DD2-9D6F-49B4-9E45-4EA5BD96CBF4.webp","vermelho_princesa_longo_ombro-a-ombro_fenda.webp","vermelho","princesa","longo","ombro-a-ombro","manga-curta","cetim","fenda"
"D5E312D3-A8F4-43C6-A42C-CA7BC48468B2.webp","verde-oliva_sereia_longo_um-ombro_fenda.webp","verde-oliva","sereia","longo","um-ombro","sem-manga","cetim","fenda;laco"
"E4EF6098-929A-4B21-9057-466E01F53166.webp","bordo_princesa_longo_v_babados.webp","bordo","princesa","longo","v","sem-manga","","babados"
"E56D56EC-376C-4B08-A2EF-BB4D9931444B.webp","azul-claro_princesa_longo_v_bordado.webp","azul-claro","princesa","longo","v","alca-fina","tule","bordado"
"ED07344A-FBCB-42CE-82AF-130EB4F80488.webp","magenta_sereia_longo_um-ombro_fenda.webp","magenta","sereia","longo","um-ombro","sem-manga","cetim","fenda;laco"
"verde_sereia.webp","verde-oliva_sereia_longo_v_fenda.webp","verde-oliva","sereia","longo","v","alca-fina","cetim","fenda;drapeado"
